I'll Be Home For Christmas,A Very Special Acoustic Christmas,Tift Merritt,186.8ø
I Got Frustration,These Are Good Times,High Strung_ The,145.2ø
Cocksure,These Are Good Times,High Strung_ The,114.7ø
Ain't That Something,These Are Good Times,High Strung_ The,165.3ø
Unhappy,Bittersweet,Blu Cantrell,247.7ø
Sleep In The Middle,Bittersweet,Blu Cantrell,274.7ø
Risk It All,Bittersweet,Blu Cantrell,295.9ø
No Place Like Home,Bittersweet,Blu Cantrell,224.6ø
Let Her Go,Bittersweet,Blu Cantrell,206.5ø
Impatient,Bittersweet,Blu Cantrell Featuring Lil' Kim & Fat Joe,301.8ø
Holding On To Love,Bittersweet,Blu Cantrell,225.9ø
Happily Ever After,Bittersweet,Blu Cantrell,228.2ø
Don't Wanna Say Goodbye,Bittersweet,Blu Cantrell,241.9ø
There Will Never Be A Better Time,Desert Session 9&10/Desert Sessions,Desert Sessions,248.4ø
Subcutaneous Phat,Desert Session 9&10/Desert Sessions,Dessert Sessions,229.6ø
In My Head...Or Something,Desert Session 9&10/Desert Sessions,Dessert Sessions,279.9ø
I'm Here For Your Daughter,Desert Session 9&10/Desert Sessions,Dessert Sessions,45.1ø
I Wanna Make It Wit Chu,Desert Session 9&10/Desert Sessions,Dessert Sessions,221.5ø
Holey Dime,Desert Session 9&10/Desert Sessions,Dessert Sessions,213.4ø
Dead In Love,Desert Session 9&10/Desert Sessions,Dessert Sessions,282.5ø
Creosote,Desert Session 9&10/Desert Sessions,Dessert Sessions,152.9ø
Crawl Home,Desert Session 9&10/Desert Sessions,Dessert Sessions,180.1ø
A Girl Like Me,Desert Session 9&10/Desert Sessions,Dessert Sessions,187.3ø
Walking,In Beats We Trust,Sidestepper,258.0ø
Me Gustas (no me disgustas),In Beats We Trust,Sidestepper,265.2ø
Deja,Palm Beat s Volume One,Sidestepper,291.6ø
The Drum,RE-LICKED: The Best of & Remixes,Soul Of Man,334.5ø
The Way You Look Tonight,Live!,Jim Hall,372.6ø
I Hear A Rhapsody,Live!,Jim Hall,522.7ø
Tight Fit,MDZ03 - No Smoke Without Fire,Total Science,403.1ø
Positive Thinking,Hardware Chronicles Vol. 2,Total Science,340.3ø
Tunnel Vision,3,I:Cube,406.3ø
Alli,Hecho en Cuba 2,Omara Portuondo,156.7ø
I'm Ready For Love,Raw,Chris Murray,187.5ø
Clean Up The Arena,Champion In The Arena 1976-1977,Jackie Mittoo,335.3ø
Brain Mark,Champion In The Arena 1976-1977,Jackie Mittoo,201.2ø
Atom Sounds,Champion In The Arena 1976-1977,Jackie Mittoo,221.4ø
30-60-90,Impact!,Jackie Mittoo,209.8ø
Prose & Cons,Lyrics of Fury II,Sweatshop Union,250.1ø
Labor Pains,Lyrics of Fury II,Sweatshop Union,256.9ø
Our Love Is Here To Stay,A Doodlin' Song,Blossom Dearie,190.3ø
Between The Devil And The Deep Blue Sea,Diva,Blossom Dearie,148.5ø
Sugar (That Sugar Baby O'Mine),Sugar,Manhattan Transfer,208.0ø
You Weren't There (Album Version),Commitment,Lucky Boys Confusion,88.3ø
Sunday Afternoon (featuring Half Pint) (Album Version),Commitment,Lucky Boys Confusion,229.7ø
South Union (Album Version),Commitment,Lucky Boys Confusion,41.1ø
Something To Believe (Album Version),Commitment,Lucky Boys Confusion,177.9ø
Ordinary (Album Version),Commitment,Lucky Boys Confusion,148.2ø
Mr. Wilmington (Album Version),Commitment,Lucky Boys Confusion,197.5ø
Medicine And Gasoline (Album Version),Commitment,Lucky Boys Confusion,201.1ø
Hey Driver (Album Version),Commitment,Lucky Boys Confusion,152.6ø
Commitment (Album Version),Commitment,Lucky Boys Confusion,164.7ø
Closer To Our Graves (Album Version),Commitment,Lucky Boys Confusion,210.4ø
Champions Dub (Album Version),Commitment,Lucky Boys Confusion,62.0ø
Champions (Hiden Track) (Album Version),Commitment,Lucky Boys Confusion,304.3ø
Broken (Album Version),Commitment,Lucky Boys Confusion,186.0ø
Blame (Album Version),Commitment,Lucky Boys Confusion,169.0ø
Beware (Album Version),Commitment,Lucky Boys Confusion,184.2ø
Atari (Album Version),Commitment,Lucky Boys Confusion,188.2ø
Ghostworld,Don't Let Em Stop You,Sunspot Jonz,247.1ø
Dear Everybody,Notes & Photographs,JamisonParker,233.2ø
Dead To The World,Notes & Photographs,JamisonParker,230.3ø
Biting Bullets,Notes & Photographs,JamisonParker,233.4ø
The Gower Wassail,The Lark In Morning - The Early Years,Steeleye Span,324.2ø
The Blackleg Miner,Hark! The Village Wait,Steeleye Span,165.3ø
Smile She Said,As You Were,Show Of Hands,279.1ø
Pendennis Castle,The Path,Show Of Hands,147.0ø
I Promise You,As You Were,Show Of Hands,279.5ø
Golden Cap,The Path,Show Of Hands,296.6ø
Country Life,As You Were,Show Of Hands,505.7ø
Buck's Mills,The Path,Show Of Hands,151.9ø
Braunton Burrows,The Path,Show Of Hands,149.4ø
Be lucky,Roots - The Best of Show of Hands (Digital-Only Bonus Version),Show Of Hands,310.1ø
Weird love,Listen,Moodorama,298.8ø
Ticket to Cairo,Listen,Moodorama,393.1ø
The second coming,Listen,Moodorama,371.6ø
Sweet Toffee,Listen,Moodorama,377.4ø
Nakonda,Listen,Moodorama,375.8ø
My favourite place,Listen,Moodorama,290.8ø
I think it's...,Listen,Moodorama,234.8ø
Eye-land,Listen,Moodorama,345.5ø
Wicked Ways,BLACK PEARLS,ERIC SARDINAS,207.7ø
Tenfold Trouble,BLACK PEARLS,ERIC SARDINAS,232.2ø
Sorrow's Kitchen,BLACK PEARLS,ERIC SARDINAS,262.5ø
Same Ol' Way,BLACK PEARLS,ERIC SARDINAS,228.0ø
Old Smyrna Road,BLACK PEARLS,ERIC SARDINAS,242.9ø
Liar's Dice Blues,BLACK PEARLS,ERIC SARDINAS,388.7ø
Flames of Love,BLACK PEARLS,ERIC SARDINAS,223.2ø
Black Pearls,BLACK PEARLS,ERIC SARDINAS,235.5ø
Big Red Line,BLACK PEARLS,ERIC SARDINAS,166.8ø
Ain't No Crime,BLACK PEARLS,ERIC SARDINAS,261.3ø
Say After Me,Birds,Bic Runga,275.4ø
And No More Shall We Part,Bic Runga with the Christchurch Symphony - Live in Concert,Bic Runga with The Christchurch Symphony,246.5ø
Serenity Now !,Admiral Freebee,Admiral Freebee,212.6ø
Rebound Love,Admiral Freebee,Admiral Freebee,253.2ø
Rags 'n' Run,Admiral Freebee,Admiral Freebee,273.9ø
Mediterranean Sea,Admiral Freebee,Admiral Freebee,259.2ø
I Got Love,Admiral Freebee,Admiral Freebee,134.3ø
Get Out Of Town,Admiral Freebee,Admiral Freebee,339.0ø
Ever Present,Admiral Freebee,Admiral Freebee,275.8ø
Einstein Brain,Admiral Freebee,Admiral Freebee,166.8ø
Bad Year For Rock 'n' Roll,Admiral Freebee,Admiral Freebee,201.3ø
Alibies,Admiral Freebee,Admiral Freebee,293.9ø
Admiral For President,Admiral Freebee,Admiral Freebee,348.6ø
Street Of Dreams,Falling In Love Again,Joey DeFrancesco | Joe Doggs,244.0ø
Can't We Begin Again,Falling In Love Again,Joey DeFrancesco | Joe Doggs,195.9ø
The Meeting,The Meeting,Art Ensemble Of Chicago,409.7ø
Tech Ritter and the Megabytes,The Meeting,Art Ensemble Of Chicago,262.8ø
Hail We Now Sing Joy,The Meeting,Art Ensemble Of Chicago,296.1ø
Walk On Water,Pentatonic Wars and Love Songs,Otis Taylor,480.9ø
Nasty Letter,Public Enemies,Otis Taylor,304.7ø
Standard Issue,Loud And Out Of Tune,Lower Class Brats,200.9ø
No Doves Fly Here,Loud And Out Of Tune,Lower Class Brats,160.6ø
Airwave Raid,Loud And Out Of Tune,Lower Class Brats,190.9ø
You're Incorrect,New Mexican Disaster Squad,New Mexican Disaster Squad,52.9ø
Vultures,New Mexican Disaster Squad,New Mexican Disaster Squad,107.8ø
The Ultimatum,Fueling The Flames of Revolution: A-F Rec,New Mexican Disaster Squad,82.8ø
Tax Return,New Mexican Disaster Squad,New Mexican Disaster Squad,203.0ø
Sexual Fantasies,New Mexican Disaster Squad,New Mexican Disaster Squad,152.1ø
Ride The Crest,New Mexican Disaster Squad,New Mexican Disaster Squad,287.5ø
Perfect Demise,New Mexican Disaster Squad,New Mexican Disaster Squad,97.5ø
Fun Box,New Mexican Disaster Squad,New Mexican Disaster Squad,83.0ø
F*ck The Oscars,New Mexican Disaster Squad,New Mexican Disaster Squad,148.1ø
Eavesdrop Word Cop,New Mexican Disaster Squad,New Mexican Disaster Squad,83.8ø
Counterfeit II,New Mexican Disaster Squad,New Mexican Disaster Squad,86.0ø
The State We're In,Songs of Innocence and of Experience,Adequate Seven,217.7ø
The Shape of Funk to Come,Songs of Innocence and of Experience,Adequate Seven,85.0ø
Protest Beat,Songs of Innocence and of Experience,Adequate Seven,245.0ø
Pop Idle,Songs of Innocence and of Experience,Adequate Seven,138.2ø
No Space,Last Night In London,Adequate Seven,168.5ø
Minor Details,Last Night In London,Adequate Seven,200.9ø
Meltdown,Songs of Innocence and of Experience,Adequate Seven,255.3ø
Human Condition,Songs of Innocence and of Experience,Adequate Seven,186.1ø
Grassroots Resistance,Songs of Innocence and of Experience,Adequate Seven,172.3ø
Gotta Stay Focussed,Songs of Innocence and of Experience,Adequate Seven,192.0ø
Gotta Stay Focused,Last Night In London,Adequate Seven,198.2ø
Free the Adequate Seven,Songs of Innocence and of Experience,Adequate Seven,540.9ø
Everybody Hates,Last Night In London,Adequate Seven,196.4ø
Choices,Songs of Innocence and of Experience,Adequate Seven,162.2ø
This Place Is Deserted,Hi_ Everything's Great,Limbeck,172.6ø
The Sun Woke the Whole State,Hi_ Everything's Great,Limbeck,215.6ø
Tan + Blue,Hi_ Everything's Great,Limbeck,208.1ø
Silver Things,Hi_ Everything's Great,Limbeck,177.3ø
In Ohio On Some Steps,Hi_ Everything's Great,Limbeck,209.6ø
I Wrote This Down,Hi_ Everything's Great,Limbeck,194.0ø
Honk + Wave,Hi_ Everything's Great,Limbeck,204.0ø
Gamblin' Man,Hi_ Everything's Great,Limbeck,186.4ø
Brand New Orange,Hi_ Everything's Great,Limbeck,162.6ø
Albatross + Ivy,Hi_ Everything's Great,Limbeck,117.7ø
Butt F**Ck,Alive Again,Nuclear Assault,228.9ø
I Wanna Be Free,The Greatest Soul Album - The Best Soul Songs Ever,JOE TEX,154.0ø
You Are My Home,Nicholas Nickleby,Rachel Portman,63.8ø
The Forest,Nicholas Nickleby,Rachel Portman,68.2ø
Suite,Music from the Motion Picture Mona Lisa Smile,Rachel Portman,335.2ø
Smike Is Captured,Nicholas Nickleby,Rachel Portman,58.9ø
Poison Roots To You,Nicholas Nickleby,Rachel Portman,48.7ø
Nicholas Proposes,Nicholas Nickleby,Rachel Portman,120.7ø
Nicholas Looks For Work,Nicholas Nickleby,Rachel Portman,61.3ø
Ladies And Gentleman,Nicholas Nickleby,Rachel Portman,53.3ø
Kate's Tears,Nicholas Nickleby,Rachel Portman,60.8ø
Journey To Dotheboys,Nicholas Nickleby,Rachel Portman,70.8ø
Journey To Devonshire,Nicholas Nickleby,Rachel Portman,79.7ø
Fanny Music,Nicholas Nickleby,Rachel Portman,72.5ø
Brooker,Nicholas Nickleby,Rachel Portman,61.0ø
At Last I Can Say It,Nicholas Nickleby,Rachel Portman,73.8ø
A Man Named Bray,Nicholas Nickleby,Rachel Portman,77.6ø
Wrong (Main Version),Motograter,Motograter,223.5ø
Suffocate (Explicit Version),Motograter,Motograter,180.9ø
Red (Main Version),Motograter,Motograter,226.9ø
Prophecies (Almost Over) (Main Version),Motograter,Motograter,170.9ø
No Name (Main Version),Motograter,Motograter,194.1ø
Ngised Wen (Main Version),Motograter,Motograter,33.0ø
New Design (Start Over) (Main Version),Motograter,Motograter,254.4ø
Mutiny (Main Version),Motograter,Motograter,178.8ø
Get Back (Explicit Version),Motograter,Motograter,204.3ø
Fight (Main Version),Motograter,Motograter,464.5ø
Down (Main Version),Motograter,Motograter,209.4ø
Der (Main Version),Motograter,Motograter,31.3ø
Collapse (Explicit Version),Motograter,Motograter,178.9ø
The Shore Of My Coast,I Love You My Friends EP,Hird,176.6ø
Keep You Kimi (Feat. Yukimi Nagano),Keep You Hird,Hird,396.6ø
Keep You Kimi,Moving On,Hird,388.5ø
Keep You Hird,Keep You Hird,Hird,353.1ø
I Love You My Friends,I Love You My Friends EP,Hird,478.2ø
Getting Closer,Moving On,Hird,380.0ø
Fading Blues,Moving On,Hird,268.5ø
Sex Not Violence,Live From Long Beach,TSOL,217.6ø
Serious,Live From Long Beach,TSOL,164.6ø
Fuck You Tough Guy,Who's Screwin' Who? 18 T.S.O.L. Greatest Non-Hits,T.S.O.L.,179.5ø
Two Sides Of A Sore,Out In The Red,Venerea,154.6ø
Scythe,Out In The Red,Venerea,87.1ø
People's Problems,Out In The Red,Venerea,141.7ø
King Of The World Of Ideas,Out In The Red,Venerea,137.9ø
Hurrah For The Filth!,Out In The Red,Venerea,169.4ø
Headfoot,Out In The Red,Venerea,170.1ø
Wish Me Gone,There And Back Again,The Legends,134.8ø
There And Back Again,There And Back Again,The Legends,193.0ø
Thanks For Nothing,There And Back Again,The Legends,120.5ø
Call It Ours,Call It Ours,The Legends,151.4ø
Stoning Judas,The Fundamentel Component,Byzantine,278.6ø
C'est la vie (Frances),C'est la vie,Celtas Cortos,276.5ø
Alicia,C'est la vie,Celtas Cortos,265.8ø
The Treacherous Mytholm Steeps,Compilations 1995-2002,Hood,234.2ø
Sound the Klaxons,Compilations 1995-2002,Hood,253.1ø
Redundant,Compilations 1995 - 2002,Hood,91.5ø
Lo Band Width,Compilations 1995-2002,Hood,300.2ø
For a Moment_ Lost,Compilations 1995-2002,Hood,151.0ø
Worriless,The Art Of How To Fall,Rebekka Bakken,239.6ø
Virgin's Lullaby,The Art Of How To Fall,Rebekka Bakken,204.6ø
The Art Of How To Fall,The Art Of How To Fall,Rebekka Bakken,225.4ø
Say Goodbye To What Is Gone,The Art Of How To Fall,Rebekka Bakken,335.1ø
Powerless,The Art Of How To Fall,Rebekka Bakken,249.9ø
I've Tried And I've Waited,The Art Of How To Fall,Rebekka Bakken,248.1ø
Giant Body,The Art Of How To Fall,Rebekka Bakken,237.9ø
Do You Know My Love,The Art Of How To Fall,Rebekka Bakken,210.3ø
Daylight Is Short In Fall,The Art Of How To Fall,Rebekka Bakken,232.0ø
Cover Me With Snow,The Art Of How To Fall,Rebekka Bakken,225.3ø
Sufani,10 Years Dubbing In Da House (Unmixed Tracks),Gaudi,510.0ø
Meena,Bass_ Sweat & Tears,Gaudi,277.2ø
Chaine A Chaine,Bass_ Sweat & Tears,Gaudi,306.2ø
New York City,New York City,The Peter Malick Group | Norah Jones,305.5ø
Tempted To Touch,Loveable,Rupee,214.4ø
The Jealous Kind,The Jealous Kind,Chris Knight,258.6ø
The Border,The Jealous Kind,Chris Knight,229.5ø
Staying Up All Night Long,The Jealous Kind,Chris Knight,196.8ø
Me And This Road,The Jealous Kind,Chris Knight,272.2ø
Long Black Highway,The Jealous Kind,Chris Knight,401.1ø
Hello Old Man,The Jealous Kind,Chris Knight,264.6ø
Devil Behind The Wheel,The Jealous Kind,Chris Knight,239.0ø
Broken Plow,The Jealous Kind,Chris Knight,276.4ø
Banging Away,The Jealous Kind,Chris Knight,151.3ø
A Train Not Running,The Jealous Kind,Chris Knight,234.9ø
Ribbon Of Darkness,Beautiful: A Tribute To Gordon Lightfoot,Bruce Cockburn,207.4ø
You Don't Remind Me,Meet Jo Stafford,Jo Stafford,179.4ø
Till We Meet Again,Meet Jo Stafford,Jo Stafford,165.9ø
Tennessee Waltz,You Belong To Me,Jo Stafford,150.2ø
Easy Come_ Easy Go,Meet Jo Stafford,Jo Stafford,220.7ø
Please Before You Go,As Approved by the Committee,The Telescopes,206.9ø
Never Learn Not To Love,As Approved by the Committee,The Telescopes,236.5ø
I Fall She Screams,As Approved by the Committee,The Telescopes,159.4ø
Yes_ It's Called Desire,Leona Naess,Leona Naess,202.9ø
Star Signs,Leona Naess,Leona Naess,292.9ø
One Kind Of Love,Leona Naess,Leona Naess,236.9ø
How Sweet,Leona Naess,Leona Naess,237.1ø
He's Gone,Leona Naess,Leona Naess,255.0ø
Dues To Pay,Leona Naess,Leona Naess,305.2ø
Don't Use My Broken Heart,Leona Naess,Leona Naess,231.4ø
Christmas,Leona Naess,Leona Naess,223.0ø
Calling,Leona Naess,Leona Naess,225.3ø
Ballerina,Leona Naess,Leona Naess,288.1ø
Three Chords In Two Minutes,S.W.A.T.,Elliot Goldenthal,113.3ø
The Fascist Shuffle,S.W.A.T.,Elliot Goldenthal,89.9ø
That Cop Stole My Car,S.W.A.T.,Elliot Goldenthal,124.5ø
S.W.A.T. Sticker,S.W.A.T.,Elliot Goldenthal,53.1ø
My Big Black Assault Weapon,S.W.A.T.,Elliot Goldenthal,99.7ø
Don't Shoot Me Baby,S.W.A.T.,Elliot Goldenthal,206.4ø
Crash Landing,S.W.A.T.,Elliot Goldenthal,280.6ø
AK-47 Scherzo,S.W.A.T.,Elliot Goldenthal,222.2ø
Girl From Next Door,To No One Else Except You,5 Bugs,204.5ø
Synchronism (Human Evolution Remix),Collected Works,Cygnus X,447.7ø
Superstring (Rank 1 Deep Dub),Collected Works,Cygnus X,465.7ø
Positron 2002 (Armin van Buuren Remix),Positron 2002 - Single,Cygnus X,529.2ø
Positron (Marco V Remix),Positron,Cygnus X,395.4ø
Positron (Extended Version),Positron,Cygnus X,434.6ø
Positron (Armin Van Buuren Remix),Collected Works,Cygnus X,529.1ø
Introspective (G&M Project Remix),Collected Works,Cygnus X,442.9ø
Indakasa (Space Diver Mix),Collected Works,Cygnus X,298.1ø
Burn Europe Burn,Shockwave,Decoded Feedback,228.2ø
Coloratura Concerto For Soprano,Trumpet Evolution,Arturo Sandoval,220.9ø
Welcome To The St. James Club,Live Across America,The Rippingtons | Russ Freeman,315.1ø
Star Spangled Banner,Live Across America,The Rippingtons | Russ Freeman,166.4ø
Road Warriors,Live Across America,The Rippingtons | Russ Freeman,255.1ø
Purple Haze,Live Across America,The Rippingtons | Russ Freeman,102.1ø
Lucky Charm,Let It Ripp!,The Rippingtons,314.1ø
High Life,Let It Ripp!,The Rippingtons,314.6ø
Cast A Spell,Let It Ripp!,The Rippingtons,262.2ø
Are We There Yet,Live Across America,The Rippingtons | Russ Freeman,269.2ø
A Private Getaway,Let It Ripp!,The Rippingtons,266.8ø
17 Mile Drive,Let It Ripp!,The Rippingtons,251.4ø
The Fish Needs a Bike,Blurt + Singles,Blurt,159.2ø
Empty Vessels,Blurt + Singles,Blurt,179.8ø
Bullets for You,Let There Be Blurt Volume 1: The Fish Needs a Bike,Blurt,182.9ø
You Can Come Right Back To Me,The Unreleased Album,David Ruffin,184.9ø
The Noise,Faithful,Paul Cardall,322.3ø
Sweet Escape,Faithful,Paul Cardall,187.4ø
Scarborough Fair,Faithful,Paul Cardall,222.9ø
Sacred Nature II,Faithful,Paul Cardall,236.0ø
Sacred Nature,Faithful,Paul Cardall,200.8ø
Less Complicated,Faithful,Paul Cardall,260.0ø
Eye to Eye,Faithful,Paul Cardall,269.1ø
Embraced,Faithful,Paul Cardall,191.4ø
Danza Del Amor,Faithful,Paul Cardall,237.4ø
A Blue World,Faithful,Paul Cardall,296.8ø
Una Ducha Y Un Cafe,Pastora,Pastora,209.3ø
Un Hombre Sin Tabaco,Pastora,Pastora,325.9ø
Un Cuaderno Lleno De Cuentos,Pastora,Pastora,201.2ø
Tengo,Pastora,Pastora,270.3ø
Runner Tiempos Mas Buenos,Pastora,Pastora,310.5ø
Paisaje De Agosto,Pastora,Pastora,344.9ø
Mirona,Pastora,Pastora,283.8ø
Mentira,Pastora,Pastora,292.0ø
M.A.R.S.,Pastora,Pastora,249.0ø
Lunes,Pastora,Pastora,301.8ø
Lola (Faitless Remix-Edit Version),Pastora,Pastora,287.7ø
Lola,Pastora,Pastora,285.8ø
La Cultura,Pastora,Pastora,241.3ø
El Aperitivo De Las 12,Pastora,Pastora,275.3ø
You're Gonna Make Me Cry,St Louis Woman / Memphis Soul,Ann Peebles,281.0ø
Raise Your Rifles,Daredevil - The Album (Music From The Motion Picture),Autopilot Off,157.3ø
Cotton Wool,Shapes One,Diesler,242.0ø
The Fine Print,Take Me To Your Leader,King Geedorah,269.3ø
The Final Hour,Take Me To Your Leader,King Geedorah,49.1ø
Take Me To Your Leader,Take Me To Your Leader,King Geedorah,128.7ø
One Smart Nigger,Take Me To Your Leader,King Geedorah,159.2ø
No Snakes Alive,Take Me To Your Leader,King Geedorah,212.5ø
Monster Zero,Take Me To Your Leader,King Geedorah,315.4ø
Lockjaw,Take Me To Your Leader,King Geedorah,63.0ø
Krazy World,Take Me To Your Leader,King Geedorah,283.9ø
Fazers,Take Me To Your Leader,King Geedorah,197.1ø
Fastlane,Take Me To Your Leader,King Geedorah,188.8ø
Rasta Get Ready,Police & Thieves,Junior Murvin,196.6ø
Cool Out son,Joe Gibbs Productions,Junior Murvin,200.6ø
Childhood Sweetheart,Police & Thieves,Junior Murvin,176.8ø
Wendet Euch Um Ihr Aderlein,Amazing Brass,Canadian Brass,106.7ø
High Society,High Society,Canadian Brass,220.4ø
Canon,Amazing Brass,Canadian Brass,275.4ø
Will You Find Me,The Ugly American,Mark Eitzel,246.9ø
Love's Humming,The Ugly American,Mark Eitzel,263.5ø
Last Harbor,The Ugly American,Mark Eitzel,342.0ø
Your Eyes,Changing Places,Tord Gustavsen_ Harald Johnsen_ Jarle Vespestad,313.2ø
Where Breathing Starts,Changing Places,Tord Gustavsen_ Harald Johnsen_ Jarle Vespestad,532.6ø
Turning Point,Changing Places,Tord Gustavsen_ Harald Johnsen_ Jarle Vespestad,349.7ø
Song of Yearning,Changing Places,Tord Gustavsen_ Harald Johnsen_ Jarle Vespestad,498.5ø
Melted Matter,Changing Places,Tord Gustavsen_ Harald Johnsen_ Jarle Vespestad,326.6ø
IGN,Changing Places,Tord Gustavsen_ Harald Johnsen_ Jarle Vespestad,275.4ø
Graceful Touch_ Variation,Changing Places,Tord Gustavsen_ Harald Johnsen_ Jarle Vespestad,277.2ø
Graceful Touch,Changing Places,Tord Gustavsen_ Harald Johnsen_ Jarle Vespestad,233.5ø
Going Places,Changing Places,Tord Gustavsen_ Harald Johnsen_ Jarle Vespestad,336.9ø
Deep as Love,Changing Places,Tord Gustavsen_ Harald Johnsen_ Jarle Vespestad,358.0ø
At a Glance,Changing Places,Tord Gustavsen_ Harald Johnsen_ Jarle Vespestad,260.6ø
Un-Sweet Sixteen,American Made,Wakefield,175.8ø
Sold Out,American Made,Wakefield,201.3ø
Say You Will,American Made,Wakefield,197.3ø
Positive Reinforcement,American Made,Wakefield,173.2ø
Infamous,American Made,Wakefield,194.0ø
Heaven's Coming,American Made,Wakefield,295.8ø
Give Me A Reason,American Made,Wakefield,231.6ø
Girls Rock Boys,American Made,Wakefield,209.0ø
Patricide,Skeletons,Nothingface,235.5ø
Murder Is Masturbation,Skeletons,Nothingface,235.4ø
